Structure,Date,Time,FishID
CIN,10/26/2020,21:51:57,900_228000281403
CIN,10/26/2020,21:51:57,900_228000281403
CIN,10/26/2020,21:51:58,900_228000281403
CIN,10/26/2020,21:51:58,900_228000281403
CIN,10/27/2020,2:39:22,900_228000281403
CIN,10/27/2020,2:39:22,900_228000281403
CIN,10/27/2020,2:39:35,900_228000281403
CIN,10/27/2020,2:39:35,900_228000281403
CIN,10/27/2020,2:39:35,900_228000281403
CIN,10/27/2020,2:39:37,900_228000281403
CIN,10/27/2020,2:45:15,900_228000281403
CIN,10/27/2020,7:00:18,900_228000281403
CIN,10/27/2020,7:02:07,900_228000281403
CIN,10/27/2020,7:02:07,900_228000281403
CIN,10/27/2020,7:02:07,900_228000281403
CIN,10/28/2020,5:49:15,900_228000281403
CIN,10/28/2020,5:49:15,900_228000281403
CIN,10/28/2020,5:49:17,900_228000281403
CIN,10/28/2020,5:49:17,900_228000281403
CIN,10/28/2020,5:49:17,900_228000281403
CIN,10/28/2020,5:49:19,900_228000281403
CIN,10/28/2020,5:49:19,900_228000281403
CIN,10/28/2020,6:39:59,900_228000281403
CIN,10/29/2020,6:54:46,900_228000281403
CIN,10/29/2020,6:54:50,900_228000281403
CIN,10/29/2020,6:54:50,900_228000281403
CIN,10/29/2020,6:54:51,900_228000281403
CIN,10/29/2020,6:54:51,900_228000281403
CIN,10/29/2020,6:54:51,900_228000281403
CIN,10/29/2020,6:54:51,900_228000281403
CIN,10/29/2020,6:54:52,900_228000281403
CIN,10/29/2020,6:54:53,900_228000281403
CIN,10/29/2020,6:54:53,900_228000281403
CIN,10/29/2020,6:54:54,900_228000281403
CIN,10/29/2020,6:54:55,900_228000281403
CIN,10/29/2020,6:54:56,900_228000281403
CIN,10/29/2020,6:55:49,900_228000281403
CIN,10/29/2020,6:55:49,900_228000281403
CIN,10/29/2020,6:55:50,900_228000281403
CIN,10/29/2020,6:55:55,900_228000281403
CIN,10/29/2020,6:55:56,900_228000281403
CIN,10/29/2020,6:55:59,900_228000281403
CIN,10/29/2020,6:55:59,900_228000281403
CIN,10/29/2020,6:56:03,900_228000281403
CIN,10/29/2020,6:56:03,900_228000281403
CIN,10/29/2020,6:56:06,900_228000281403
CIN,10/29/2020,6:56:06,900_228000281403
CIN,10/29/2020,6:56:07,900_228000281403
CIN,10/29/2020,6:56:08,900_228000281403
CIN,10/29/2020,6:56:08,900_228000281403
CIN,10/29/2020,6:56:09,900_228000281403
CIN,10/29/2020,6:56:11,900_228000281403
CIN,10/29/2020,6:56:11,900_228000281403
CIN,10/29/2020,6:56:11,900_228000281403
CIN,10/29/2020,6:56:11,900_228000281403
CIN,10/29/2020,6:58:53,900_228000281403
CIN,10/29/2020,6:58:53,900_228000281403
CIN,10/29/2020,6:59:04,900_228000281403
CIN,10/29/2020,6:59:04,900_228000281403
CIN,10/29/2020,6:59:05,900_228000281403
CIN,10/29/2020,6:59:05,900_228000281403
